country,biennial_assessment_invoiced_2020_usd,biennial_assessment_invoiced_2020_chf,biennial_assessment_collected_or_adjusted_2020_usd,biennial_assessment_collected_or_adjusted_2020_chf,biennial_assessment_balance_outstanding_usd_(A),biennial_assessment_balance_outstanding_chf_(A),balance_for_prior_years_as_at_31_dec_19_usd,prior_financial_periods_balance_for_prior_years_as_at_31_dec_19_chf,prior_financial_periods_collected_or_adjusted_during_current_biennial_usd,prior_financial_periods_collected_or_adjusted_during_current_biennial_chf,prior_financial_periods_balance_outstanding_usd_(B),prior_financial_periods_balance_outstanding_chf_(B),rescheduled_assessment_rescheduled_assessment_usd,rescheduled_assessment_collected_or_adjusted_2020-2021_usd,rescheduled_assessment_collected_or_adjusted_from_prior_years_as_at_31_dec_19_usd,rescheduled_assessment_balance_outstanding_(C),total_outstanding_usd_(A)+(B)+(C),total_outstanding_chf_(A)+(B)+(C)
Paraguay,76560,0,0,0,76560,0,2612,0,0,0,2612,0,0,0,0,0,79172,0
Peru,363635,371271,61731,54680,301904,316591,130126,134627,130126,134627,0,0,0,0,0,0,301904,316591
Philippines,490430,500729,0,0,490430,500729,0,0,0,0,0,0,0,0,0,0,490430,500729
Poland,1918650,1958942,1918650,1958942,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Portugal,837315,854899,0,0,837315,854899,0,0,0,0,0,0,0,0,0,0,837315,854899
Puerto Rico,4790,0,0,0,4790,0,73580,0,0,0,73580,0,0,0,0,0,78370,0
Qatar,674640,688808,0,0,674640,688808,643495,271897,643495,0,0,271897,0,0,0,0,674640,960705
Republic of Korea,5423410,5537302,5423410,5537302,0,0,0,8624,0,8624,0,0,0,0,0,0,0,0
Republic of Moldova,14360,0,0,0,14360,0,0,0,0,0,0,0,2505023,0,2312938,192085,206445,0
Romania,473680,483627,473680,483627,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russian Federation,5753550,5874375,5753550,5874375,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rwanda,14360,0,0,0,14360,0,19140,0,0,0,19140,0,0,0,0,0,33500,0
Saint Kitts and Nevis,4790,0,4790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Lucia,4790,0,0,0,4790,0,0,0,0,0,0,0,0,0,0,0,4790,0
Saint Vincent and the Grenadines,4790,0,0,0,4790,0,55,0,0,0,55,0,0,0,0,0,4845,0
Samoa,4790,0,4790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Marino,9570,0,0,0,9570,0,0,0,0,0,0,0,0,0,0,0,9570,0
Sao Tome and Principe,4790,0,1988,0,2802,0,0,0,0,0,0,0,0,0,0,0,2802,0
Saudi Arabia,2803810,2862690,0,0,2803810,2862690,5483350,7245031,2741675,7245031,2741675,0,0,0,0,0,5545485,2862690
Senegal,33500,0,0,0,33500,0,72636,0,0,0,72636,0,0,0,0,0,106136,0
Serbia,133970,0,0,0,133970,0,0,0,0,0,0,0,0,0,0,0,133970,0
Seychelles,9570,0,0,0,9570,0,0,0,0,0,0,0,0,0,0,0,9570,0
Sierra Leone,4790,0,461,0,4329,0,0,0,0,0,0,0,0,0,0,0,4329,0
Singapore,1160280,1184646,1160280,1184646,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovakia,366030,373716,0,0,366030,373716,113,0,0,0,113,0,0,0,0,0,366143,373716
Slovenia,181815,185633,181815,185633,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solomon Islands,4790,0,0,0,4790,0,0,0,0,0,0,0,0,0,0,0,4790,0
Somalia,4790,0,0,0,4790,0,4780,0,0,0,4780,0,446364,0,22318,424046,433616,0
South Africa,650715,664380,650715,664380,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Sudan,28710,0,0,0,28710,0,85280,0,0,0,85280,0,0,0,0,0,113990,0
Spain,5133935,5241748,0,0,5133935,5241748,0,0,0,0,0,0,0,0,0,0,5133935,5241748
Sri Lanka,105265,107476,0,0,105265,107476,0,0,0,0,0,0,0,0,0,0,105265,107476
Sudan,47850,0,0,0,47850,0,95680,0,0,0,95680,0,0,0,0,0,143530,0
Suriname,23930,0,0,0,23930,0,57400,0,0,0,57400,0,0,0,0,0,81330,0
Sweden,2167450,2212966,2167450,2212966,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,2753570,2811395,2753570,2811395,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Syrian Arab Republic,52630,0,0,0,52630,0,173920,0,0,0,173920,0,0,0,0,0,226550,0
Tajikistan,19140,0,0,0,19140,0,0,0,0,0,0,0,397459,0,306990,90469,109609,0
Thailand,734445,749868,734445,738850,0,11018,0,0,0,0,0,0,0,0,0,0,0,11018
Timor0Leste,9570,0,0,0,9570,0,0,0,0,0,0,0,0,0,0,0,9570,0
Togo,9570,0,0,0,9570,0,4910,0,0,0,4910,0,0,0,0,0,14480,0
Tokelau,4790,0,0,0,4790,0,0,0,0,0,0,0,0,0,0,0,4790,0
Tonga,4790,0,4790,0,0,0,80,0,80,0,0,0,0,0,0,0,0,0
Trinidad and Tobago,191390,0,0,0,191390,0,312090,0,0,0,312090,0,0,0,0,0,503480,0
Tunisia,119620,0,0,0,119620,0,133960,0,133960,0,0,0,0,0,0,0,119620,0
Turkey,3279880,3348757,0,0,3279880,3348757,0,0,0,0,0,0,0,0,0,0,3279880,3348757
Turkmenistan,157900,0,0,0,157900,0,248800,0,0,0,248800,0,1011212,0,1011212,0,406700,0
Tuvalu,4790,0,0,0,4790,0,0,0,0,0,0,0,0,0,0,0,4790,0
Uganda,38280,0,34896,0,3384,0,7617,0,7617,0,0,0,0,0,0,0,3384,0
Ukraine,136365,139229,136365,139229,0,0,0,0,0,0,0,0,28936270,4647504,15738754,8550012,8550012,0
United Arab Emirates,1473675,1504622,0,0,1473675,1504622,1444870,1247686,0,0,1444870,1247686,0,0,0,0,2918545,2752308
United Kingdom of Great Britain and Northern Ireland,10925765,11155206,10925765,11155206,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Republic of Tanzania,47850,0,0,0,47850,0,42356,0,42356,0,0,0,0,0,0,0,47850,0
United States of America,57883460,59099013,0,0,57883460,59099013,71061798,67839678,29776884,27810420,41284915,40029258,0,0,0,0,99168375,99128271
Uruguay,208135,212506,0,0,208135,212506,0,0,0,0,0,0,0,0,0,0,208135,212506
Uzbekistan,153110,0,0,0,153110,0,79642,0,0,0,79642,0,0,0,0,0,232752,0
Vanuatu,4790,0,0,0,4790,0,0,0,0,0,0,0,0,0,0,0,4790,0
Venezuela (Bolivarian Republic of),1741615,1778189,0,0,1741615,1778189,0,0,0,0,0,0,13219535,0,0,13219535,14961150,1778189
Viet Nam,184210,188078,0,0,184210,188078,138745,193954,0,0,138745,193954,0,0,0,0,322955,382032
Yemen,47850,0,0,0,47850,0,95680,0,0,0,95680,0,0,0,0,0,143530,0
Zambia,43060,0,0,0,43060,0,0,0,0,0,0,0,0,0,0,0,43060,0
Zimbabwe,23930,0,0,0,23930,0,18580,0,0,0,18580,0,0,0,0,0,42510,0
